idx,title,explanation
31,Sử dụng các vật liệu nhiều lỗ,"a)     Làm đối tượng có nhiều lỗ hoặc sử dụng thêm những chi tiết nhiều lỗ (miếng đệm, tấm phủ…)\nb)     Nếu đối tượng đã có nhiều lỗ, sơ bộ tẩm nó bằng chất nào đó."
32,Nguyên tắc thay đổi màu sắc,"a)     Thay đổi màu sắc của đối tượng hay môi trường bên ngoài.\nb)     Thay đổi độ trong suốt của đối tượng hay môi trường bên ngoài.\nc)     Để có thể quan sát được những đối tượng hoặc những quá trình, sử dụng các chất phụ gia màu, huỳnh quang.\nd)     Nếu các chất phụ gia đó đã được sử dụng, dùng các nguyên tử đánh dấu.\ne)     Sử dụng các hình vẽ, ký hiệu thích hợp. "
33,Nguyên tắc đồng nhất,"Những đối tượng, tương tác với đối tượng cho trước, phải được làm từ cùng một vật liệu (hoặc từ vật liệu gần về các tính chất) với vật liệu chế tạo đối tượng cho trước."
34,Nguyên tắc phân hủy hoặc tái sinh các phần,"a)     Phần đối tượng đã hoàn thành nhiệm vụ hoặc trở nên không cần thiết phải tự phân hủy (hòa tan, bay hơi…) hoặc phải biến dạng.\nb)     Các phần mất mát của đối tượng phải được phục hồi trực tiếp trong quá trình làm việc."
35,Thay đổi các thông số hóa lý của đối tượng,"a)     Thay đổi trạng thái đối tượng.\nb)     Thay đổi nồng độ hay độ đậm đặc.\nc)     Thay đổi độ dẻo.\nd)     Thay đổi nhiệt độ, thể tích."
36,Sử dụng chuyển pha,"Sử dụng các hiện tượng nảy sinh, trong các quá trình chuyển pha như thay đổi thể tích, tỏa hay hấp thu nhiệt lượng…"
37,Sử dụng sự nở nhiệt,"a)     Sử dụng sự nở (hay co) nhiệt của các vật liệu.\nb)     Nếu đã dùng sự nở nhiệt, sử dụng với vật liệu có các hệ số nở nhiệt khác nhau."
38,Sử dụng các chất ôxy hóa mạnh,a)     Thay không khí thường bằng không khí giàu ôxy.\nb)     Thay không khí giàu ôxy bằng chính ôxy.\nc)     Dùng các bức xạ iôn hóa tác động lên không khí hoặc ôxy.\nd)     Thay ôxy giàu ôzôn (hoặc ôxy bị iôn hóa) bằng chính ôzôn.
39,Thay đổi độ trơ,"a)     Thay môi trường thông thường bằng môi trường trung hòa.\nb)     Đưa thêm vào đối tượng các phần, các chất, phụ gia trung hòa.\nc)     Thực hiện quá trình trong chân không."
40,Sử dụng các vật liệu hợp thành (composite),"Chuyển từ các vật liệu đồng nhất sang sử dụng những vật liệu hợp thành (composite). Hay nói chung, sử dụng các loại vật liệu mới."
